id, artist, album, song, format_song
f658af5d72464538956d5ab1abacc635,Beach House,Teen Dream, Walk In The Park,Walk_In_The_Park
70b76e5396c34129acaaf01c1a9405ba,Beach House,Teen Dream, Used To Be,Used_To_Be
1db65e79164541a3833a25bc1a0df3cf,Beach House,Teen Dream, Lover Of Mine,Lover_Of_Mine
3b87ce093c8c42d192901c0290ed992d,Beach House,Teen Dream, Better Times,Better_Times
4c8480e9520442939f1db6e899ffebe8,Beach House,Teen Dream, 10 Mile Stereo,10_Mile_Stereo
aceaf49ac70a49748c505843a85dc0f7,Beach House,Teen Dream, Real Love,Real_Love
2e84b2dd4ad948be93dd59f4f37e8172,Beach House,Teen Dream, Take Care,Take_Care
76949ac1bfb140429ac871c696c4a963,Beach House,Teen Dream,Zebra,Zebra
faf21803367f4aeda3366131c15971fd,Big Star,No1 Record - Radio City, Feel,Feel
43211175d5164ed9854a0abec6398400,Big Star,No1 Record - Radio City, The Ballad Of El Goodo,The_Ballad_Of_El_Goodo
04ff0ae8f6f540d7aab97b6071b4e11f,Big Star,No1 Record - Radio City, In The Street,In_The_Street
a0d90d90f13042e1bd3cb7f442a237e5,Big Star,No1 Record - Radio City, Thirteen,Thirteen
9e0bc01c93974fbab7ed3791efe8c1c8,Big Star,No1 Record - Radio City, Don't Lie To Me,Don't_Lie_To_Me
3ec436c03698460595d1cc45f270f672,Big Star,No1 Record - Radio City, The India Song,The_India_Song
9a22fa3d7e2a4138b3c9dddf7c8fba64,Big Star,No1 Record - Radio City, When My Baby's Beside Me,When_My_Baby's_Beside_Me
c59c6c89bb9d4b8aa048f2d616942659,Big Star,No1 Record - Radio City, My Life Is Right,My_Life_Is_Right
e7f9c7b45c2d4b5e9a93b2070f70b94d,Big Star,No1 Record - Radio City, Give Me Another Chance,Give_Me_Another_Chance
799ba460410e499f89e028a5d53d173a,Big Star,No1 Record - Radio City, Try Again,Try_Again
c7e563db0434406796a57334981133cd,Big Star,No1 Record - Radio City, Watch The Sunrise,Watch_The_Sunrise
428204f1e77147ddad6dff57b65ba123,Big Star,No1 Record - Radio City, St 100 6,St_100_6
a6897e848c7c4259933180480400e434,Big Star,No1 Record - Radio City, O My Soul,O_My_Soul
94f763750d6e47cbb4c166e069f7846a,Big Star,No1 Record - Radio City, Life Is White,Life_Is_White
0f6b3deca8ba4f5aa16422e4e87de11d,Big Star,No1 Record - Radio City, Way Out West,Way_Out_West
e38ff914bc77406b894ceb93ee32173d,Big Star,No1 Record - Radio City, What's Going Ahn,What's_Going_Ahn
af0aed272f3e484593da5e9673326833,Big Star,No1 Record - Radio City, You Get What You Deserve,You_Get_What_You_Deserve
a8346abf6cb6499486358ebadf882559,Big Star,No1 Record - Radio City, Mod Lang,Mod_Lang
b0cade47794e4b9cb77ef2dcd2ae17b9,Big Star,No1 Record - Radio City, Back Of A Car,Back_Of_A_Car
df78e4272075470290414f9b4924c499,Big Star,No1 Record - Radio City, Daisy Glaze,Daisy_Glaze
6a6af88019b947d7b373b38f3e7f6098,Big Star,No1 Record - Radio City, She's A Mover,She's_A_Mover
